First Name,Last Name,Jersey,Position,Games Played,Points,Total Goals,1pt Goals,2pt Goals,Scoring Points,Assists,Shots,Shot Pct,Shots On Goal,SOG Pct,2pt Shots,2pt Shot Pct,2pt Shots On Goal,Groundballs,Turnovers,Caused Turnovers,Faceoffs,Faceoff Wins,Faceoff Losses,Faceoff Pct,Saves,Save Pct,Scores Against,Scores Against Average,2pt Goals Against,2pt GAA,Time On Field,Total Penalties,Penalty Minutes,Power Play Goals,Power Play Shots,Short Handed Goals,Short Handed Shots,Short Handed Goals Against,Power Play Goals Against
Kyle,McClancy,88,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Kevin,Buchanan,27,M,7,3,2,2,0,2,1,9,0.2222222222222220,6,0.6666666666666670,1,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Josh,Byrne,22,A,7,20,13,13,0,13,7,44,0.29545454545454500,28,0.6363636363636360,2,0,2,8,8,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,,0
Jeremy,Thompson,74,M,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jarrod,Neumann,88,D,7,0,0,0,0,0,0,4,0,2,0.5,4,0,2,16,6,7,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,0
James,Barclay,28,D,5,1,0,0,0,0,1,1,0,1,1,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Jake,Froccaro,54,M,7,10,5,3,2,7,3,31,0.16129032258064500,15,0.4838709677419360,10,0.2,5,12,3,3,5,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Dhane,Smith,92,M,7,10,6,6,0,6,4,19,0.3157894736842110,12,0.631578947368421,0,0,0,8,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Dan,Coates,57,D,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Curtis,Dickson,71,A,7,18,12,12,0,12,6,43,0.27906976744186000,25,0.5813953488372090,3,0,0,7,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Connor,Fields,5,A,6,7,6,6,0,6,1,19,0.3157894736842110,10,0.5263157894736840,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Charlie,Cipriano,12,G,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,30,0.4838709677,33,11.945701357466100,1,0.3619909502,7956,0,0,0,0,0,0,,0
Brodie,Merrill,17,D,5,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,,0
Blaze,Riorden,0,G,7,0,0,0,0,0,0,3,0,1,0.3333333333333330,3,0,1,10,5,1,0,0,0,0,119,0.6134020619,78,10.970892752490700,3,0.4219574136,20476,0,0,0,0,0,0,,0
Austin,Staats,83,A,7,6,5,5,0,5,1,12,0.4166666666666670,10,0.8333333333333330,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,,0
Brendan,Gleason,9,A,6,4,3,3,0,3,1,10,0.3,4,0.4,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Adam,Ghitelman,8,G,6,0,0,0,0,0,0,2,0,0,0,2,0,0,5,0,1,0,0,0,0,31,0.5849056604,23,9.200000000000000,1,0.4,7200,0,0,0,0,0,0,,0
Zach,Melillo,,,5,1,0,0,0,0,1,0,0,0,0,0,0,0,8,0,0,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Josh,Currier,27,M,6,6,6,6,0,6,0,14,0.42857142857142900,11,0.7857142857142860,0,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,,0
Mark,Glicini,16,M,7,2,1,1,0,1,1,4,0.25,2,0.5,1,0,1,11,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,0
Sean,Sconone,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,4,0,0,0,0,76,0.5714285714,57,9.12,0,0,18000,0,0,0,0,0,0,,0
Robert,Mooney,,,5,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Landon,Kramer,,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Jack,Jasinski,,,5,9,6,6,0,6,3,19,0.3157894736842110,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Ryan,Beville,,,5,0,0,0,0,0,0,2,0,0,0,0,0,0,9,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Charlie,Durbin,,,5,0,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
James,Burr,,,5,7,4,4,0,4,3,14,0.2857142857142860,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Matt,Whitcher,,,5,0,0,0,0,0,0,2,0,0,0,0,0,0,11,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Chad,Toliver,,,4,1,1,1,0,1,0,2,0.5,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
Brendan,Sunday,,,5,15,11,11,0,11,4,36,0.3055555555555560,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
